osm_id,highway,cyclable_status,name,bicycle,cycleway,access,oneway,surface,lit,maxspeed
49520809,unclassified,likely,Rue du Canal,,,,yes,asphalt,,30
56304517,cycleway,legal,,,,,,asphalt,no,
56304518,cycleway,legal,,,,,,asphalt,no,
56304519,cycleway,legal,,,,,,asphalt,,
85067978,path,legal,,designated,,,,compacted,yes,
88516025,residential,likely,Avenue Jean Capelle,,,,,asphalt,yes,30
88531701,tertiary,legal,Rue de la Doua,yes,,,no,asphalt,yes,30
95658178,residential,likely,Rue des Coquelicots,,,,,,,30
95658183,living_street,likely,Rue des Genièvres,,,,,,,
95658184,living_street,likely,Rue des Violettes,,,,,,,
95658185,living_street,likely,Rue Marcel,,,,,,,
95658188,living_street,likely,Rue Claudia,,,,,,,
95658191,service,likely,,,,,,,,
95658192,service,likely,,,,,,,,
100104610,unclassified,legal,Rue Marie-Antoinette,yes,,yes,yes,asphalt,,30
102556555,unclassified,likely,Rue Eugène Pottier,,,,,asphalt,,30
106608860,path,legal,,designated,,,,,,
106608861,residential,likely,Rue Montgolfier,,,,,asphalt,yes,30
106608905,tertiary,likely,Rue Château-Gaillard,,,,,asphalt,yes,30
107078239,residential,likely,Avenue Jean Capelle,,,,yes,asphalt,,30
107078243,cycleway,legal,,,,,,asphalt,yes,
107078249,residential,likely,Avenue Jean Capelle,,,,yes,asphalt,,30
107078250,residential,likely,Avenue Jean Capelle,,,,yes,asphalt,yes,30
107078253,residential,likely,Avenue Jean Capelle,,,,yes,asphalt,yes,30
108043727,tertiary,likely,Rue du 1er Mars 1943,,,,yes,asphalt,yes,30
119438058,tertiary,likely,Rue Francis de Pressensé,,,,yes,asphalt,yes,30
119438059,tertiary,likely,Rue Francis de Pressensé,,,,yes,asphalt,yes,30
119439118,residential,likely,Rue Alexis Perroncel,,no,,,asphalt,yes,30
119439799,residential,likely,Rue Édouard Vaillant,,,,yes,asphalt,,30
119440078,tertiary,likely,Rue Anatole France,,,,yes,asphalt,yes,30
121556451,residential,likely,Rue Jean-Baptiste Clément,,,,yes,asphalt,yes,30
121557820,residential,likely,Rue des Antonins,,,,yes,asphalt,yes,30
121771237,residential,likely,Rue du Professeur Émile Bouvier,,,,yes,asphalt,,30
126471498,secondary,likely,Rue du 4 Août 1789,,,,yes,asphalt,yes,30
128754991,living_street,legal,Passage Rey,yes,,,,concrete,yes,20
128754993,living_street,legal,Passage Rey,yes,,,,asphalt,yes,20
128930529,tertiary,likely,Avenue du Commandant l'Herminier,,,,yes,asphalt,yes,30
128930533,tertiary,likely,Rue Docteur Rollet,,,,yes,asphalt,yes,30
128930534,tertiary,likely,Rue Docteur Rollet,,,,yes,asphalt,yes,30
128930536,unclassified,likely,Avenue du Commandant l'Herminier,,,,yes,asphalt,yes,30
128942877,tertiary,likely,Rue du 8 Mai 1945,,,,,asphalt,,30
128942883,tertiary,likely,Rue du 8 Mai 1945,,lane,,no,asphalt,yes,30
128942887,cycleway,legal,,,,,yes,asphalt,yes,
128982875,unclassified,likely,Boulevard Niels Bohr,,,,no,asphalt,yes,30
128984192,path,legal,,designated,,,,concrete,no,
128984195,path,legal,,designated,,,,wood,,
128988943,service,legal,,yes,,private,,asphalt,yes,
131298875,path,legal,Chemin de Halage,designated,,,,concrete,no,
133480183,service,legal,Rue de Pierrefrite,yes,,,,asphalt,yes,35
135564551,secondary,likely,Avenue d'Orcha,,,,,,,50
138208717,residential,likely,Rue Alexis Perroncel,,,,,asphalt,yes,30
138208718,unclassified,likely,Rue Armand,,,,yes,asphalt,,30
138233899,unclassified,likely,Rue Frédéric Fays,,,yes,yes,asphalt,yes,30
138233900,tertiary,likely,Rue Francis de Pressensé,,,,yes,asphalt,yes,30
138233901,tertiary,likely,Rue Francis de Pressensé,,,,yes,asphalt,yes,30
139377975,unclassified,legal,Rue Frédéric Fays,yes,,yes,yes,asphalt,yes,30
139566255,cycleway,legal,Rue du Canal,,,,,asphalt,,
139566257,cycleway,legal,Rue du Canal,,,,,asphalt,,
139575131,cycleway,legal,Allée du Mens,,,,yes,asphalt,,
140650798,service,legal,,yes,,no,yes,,,50
140650801,path,legal,,yes,,,,asphalt,,
147614652,tertiary,likely,Rue Montgolfier,,,,,asphalt,yes,30
147745599,tertiary,likely,Avenue du 8 Mai 1945,,,,,asphalt,,50
147751401,service,likely,Rue du Canal,,,,yes,asphalt,,
147751405,service,likely,,,,,yes,asphalt,,
147751412,path,legal,Promenade Parc de Miribel,designated,,,,asphalt,no,
148448200,unclassified,likely,Rue Lakanal,,,,yes,asphalt,yes,50
148722941,service,likely,,,,,,paving_stones,,
148836310,track,likely,Chemin de Balmont,,,,,,,
148836474,residential,likely,Rue de la Digue,,,,,,,30
