code_commune,nom_commune,LIBDENS7,predicted_cluster,predicted_name,proba_cluster_0,proba_cluster_1,proba_cluster_2,proba_cluster_3,extrapolated
89353,Saint-Martin-d'Ordon,Rural à habitat dispersé,2,Tourisme rural,0.0212,0.0203,0.5261,0.4325,1
89354,Saint-Martin-du-Tertre,Ceintures urbaines,3,Tourisme litoral,0.2742,0.0376,0.3425,0.3456,1
89355,Saint-Martin-sur-Armançon,Rural à habitat dispersé,2,Tourisme rural,0.0069,0.0085,0.8219,0.1627,1
89359,Saint-Maurice-aux-Riches-Hommes,Rural à habitat dispersé,2,Tourisme rural,0.0213,0.0158,0.5223,0.4406,1
89360,Saint-Maurice-le-Vieil,Rural à habitat dispersé,2,Tourisme rural,0.0214,0.0168,0.507,0.4548,1
89361,Saint-Maurice-Thizouaille,Rural à habitat dispersé,3,Tourisme litoral,0.0335,0.0202,0.4592,0.4871,1
89362,Saint-Moré,Rural à habitat dispersé,2,Tourisme rural,0.0097,0.0143,0.7631,0.2129,1
89363,Sainte-Pallaye,Rural à habitat dispersé,2,Tourisme rural,0.0189,0.0166,0.7709,0.1935,1
89364,Saint-Père,Rural à habitat dispersé,2,Tourisme rural,0.0262,0.0107,0.6516,0.3114,1
89365,Saint-Privé,Rural à habitat dispersé,2,Tourisme rural,0.0118,0.0158,0.7169,0.2556,1
